name,nation,email,phone,address,osm_lon,osm_lat,google_lon,google_lat,bing_lon,bing_lat
Alfred Hitchcock,england,alfred_hitchcock@gmail.com,15-3510-6420,rivadavia 3250,-58.3904117,-34.6091069,-58.4124011,-34.6106022,-58.4123726,-34.6107254
Andrei Tarkovsky,soviet union,andrei_tarkovsky@gmail.com,15-1062-6882,reconquista 790,-58.3725568,-34.6020421,-58.3728279,-34.5986369,-58.3729477,-34.5988121
Bernardo Bertolucci,italy,bernardo_bertolucci@gmail.com,15-8006-7060,junin 230,-58.3971562,-34.5945279,-58.3965207,-34.6067895,-58.3966408,-34.6067924
Billy Wilder,usa,billy_wilder@gmail.com,15-9889-8716,carabobo 345,-58.4471665,-34.6405055,-58.4546882,-34.6309206,-58.4548149,-34.6309052
Charlie Chaplin,england,charlie_chaplin@gmail.com,15-1914-2740,lavalle 79,-58.3705098,-34.6020403,-58.3689762,-34.6017756,-58.3689117,-34.6016884
D. W. Griffith,usa,d_w_griffith@gmail.com,15-1469-4242,riglos 435,,,-58.4362766,-34.6236901,-58.4364471,-34.6237335
David Cronenberg,usa,david_croenenberg@gmail.com,15-0779-1233,esmeralda 43,-58.3780874,-34.6023594,-58.3778105,-34.6077041,-58.3776779,-34.6075974
Emir Kusturica,,emir_kusturica@gmail.com,15-0056-9920,la rioja 450,-58.4063892,-34.6303156,-58.4082858,-34.6157712,-58.4080887,-34.6157455
F. W. Murnau,,f_w_murnau@gmail.com,15-4842-0220,Av. la plata 880,-58.4269273,-34.6260521,-58.4269853,-34.6259893,-58.426857,-34.6257362
Federico Fellini,italy,federico_fellini@gmail.com,15-1258-7690,viel 340,-58.4282511,-34.6374897,-58.4328127,-34.6204173,-58.4327011,-34.6204681
Francis Ford Coppola,usa,francis_ford_coppola@gmail.com,15-3041-0364,belgrano 1348,-58.4565454,-34.5613076,-58.38532969999999,-34.6133991,-58.3853607,-34.6135483
Fritz Lang,germany,fritz_lang@gmail.com,15-3995-0015,gascon 332,-58.4240917,-34.60289,-58.4246724,-34.6082054,-58.4248428,-34.6081505
Ingmar Bergman,,ingmar_bergman@gmail.com,15-9540-4046,campichuelo 230,,,-58.4339008,-34.6145038,-58.4340744,-34.6144485
